,Title,Description,Location,Price,Condition
67,Kawasaki 1998 Green,"1998 kawasaki GPZ 500. Neatly used, no fault","Abuja, Gwagwalada","₦ 550,000",Foreign Used
68,SYM Jet 2016 Black,It is exactly how you see it buy and ride no issue working perfectly good come and see then ride...,"Ondo, Ondo / Ondo State","₦ 600,000",Blue
69,Bajaj RE 2019 Yellow,Felly used keke for sell. Lets deal,"Enugu, Enugu / Enugu State","₦ 550,000",Brand New
70,TVS HLX Plus ES 2021 Black,"Clean and sound as brand new who know go know, serious buyer only pls.","Ondo, Ondo / Ondo State","₦ 749,989",White
71,New Super Gallant Buffalo 2022,Super gallant is a 200cc motorcycle,"Lagos, Agege","₦ 955,000",Foreign Used
72,New Motorcycle 2022 Black,Brand new dispatch logistics motorcycles available in wuye ultra modern market behind family worship...,"Abuja, Wuye","₦ 1,060,000",Black
73,TVS King Deluxe Plus iTouch Start 2018 Blue,"Neatly used TVs Keke for sale, buy and drive no issues Call or Whatsapp","Delta, Warri","₦ 600,000",Foreign Used
74,Kymco Agility 2015 Black,"Direct Belgium used Kymco bike, hand start, pointers and lights works perfectly. Just buy and ride...","Oyo, Ibadan","₦ 480,000",Blue
75,Motorcycle 2015 Yellow,"A different quad with so much power ! Revere , 5 speed and that aggressive look! Everybody should...","Lagos, Ojodu","₦ 680,000",Nigerian Used
76,TVS HLX Plus ES 2022 Blue,Very sound Bike Serious buyer pls,"Ondo, Ondo / Ondo State","₦ 529,999",Yellow
77,New Motorcycle 2021,Tricycles for farming and logistics,"Lagos, Yaba","₦ 2,900,000",Foreign Used
78,New Muoner MN-A 200 2022 Black,"Mouner mortorcycle is a good bike that has a very strong engine, it can be used for dispatch or...","Lagos, Agege","₦ 1,150,000",Red
79,BMW S 1000 RR 2022 White,2022 BMW S1000RR Sports with the M package. Carbon fiber wheels Akrapovic full Exhaust system.,"Lagos, Ifako-Ijaiye","₦ 22,000,000",Brand New
80,SYM Symphony 2015 Black,"Clean Japanese tokunbo sym fighter 150cc, a perfect bike for long and short trip on a low fuel...","Lagos, Ogba","₦ 430,000",Black
81,Harley-Davidson FXR 2008 Black,1 week old good as new cruiser for easy hot sale,"Abuja, Idu Industrial","₦ 4,500,000",Nigerian Used
